T;HR;PPM_CO_1;PPM_CO_2
21.9;72.1;10.5;5.86
21.8;72.3;10.62;6.41
21.8;72.6;10.82;5.81
21.8;72.6;10.92;5.91
21.8;72.5;11.34;5.77
21.8;72.5;11.96;6.17
21.8;72.7;11.39;6.03
21.8;72.7;11.29;6.53
21.7;72.9;11.71;5.99
21.7;73;12.04;6.15
21.7;73.2;12.46;5.95
21.6;73.2;10.87;6.11
21.6;73.2;11.61;6.21
21.7;73.2;11.96;6.84
21.7;73;12.85;6.36
21.7;73.1;13.42;6.52
21.7;73.2;14.57;6.39
21.6;73.2;14.73;6.72
21.6;73.2;13.93;6.52
21.7;73.4;13.59;7.02
21.7;73.2;14.03;6.49
21.6;73.3;14.13;6.59
21.7;73.3;17.04;6.97
21.7;73.6;15.45;6.79
21.7;73;13.93;6.46
21.7;73;14.07;7.09
21.7;73.3;14.27;6.49
21.7;73.3;14.37;6.59
21.7;73.5;14.81;6.45
21.7;73.4;14.73;6.79
21.7;73.5;14.17;6.52
21.7;73.5;14.07;7.09
21.7;73.5;13.55;6.3
21.7;73.3;13.18;6.34
21.7;72.9;12.69;6.01
21.8;72.6;10.23;5.83
21.6;71.3;8.39;5.51
21.5;71.7;8.08;6.01
21.5;72.1;8.08;5.36
21.5;72.1;8.18;5.46
21.5;72.1;7.98;5.26
21.4;72.3;8.78;5.71
21.5;73.5;8.39;5.57
21.6;74.1;8.49;6.13
21.6;74.5;8.9;5.58
21.6;74.5;9;5.68
21.7;74.6;9.62;5.54
21.7;74.4;10.02;5.88
21.6;74.3;9.22;5.68
21.6;75.1;9.33;6.24
21.7;74.9;8.28;5.41
21.5;72.6;7.58;5.4
21.4;72.3;7.38;5.15
21.3;72.7;7.39;5.49
21.2;72.7;6.59;5.29
21.2;73;9.12;6.24
21.2;73.2;10.6;5.76
21.2;73.3;10.06;5.74
21.3;73.1;10.9;5.66
21.2;73.2;11.3;6.11
21.2;73.5;10.72;5.91
21.2;73.6;10.62;6.41
21.1;73.8;10.82;5.87
21.1;74;11.36;6.03
21;74.1;11.34;5.77
21;74.2;11.52;6.23
21;74.3;11.16;6.09
21;74.3;11.29;6.59
21;74.3;11.26;5.99
20.9;74.3;11.59;6.09
20.9;74.4;11.79;5.95
20.9;74.4;12.19;6.29
20.9;74.6;11.39;6.15
20.9;74.6;11.29;6.59
20.9;74.6;11.49;5.99
20.8;74.6;11.59;6.09
20.8;74.6;11.79;5.95
20.9;74.6;12.19;6.35
20.8;74.7;11.39;6.15
20.8;74.7;11.29;6.65
20.8;74.6;11.49;6.05
20.8;74.6;11.59;6.15
20.8;74.6;11.79;5.95
20.8;74.6;11.96;6.35
20.8;74.5;11.39;6.15
20.8;74.4;11.06;6.65
20.8;74.4;11.26;6.05
20.8;74.6;11.14;6.09
20.8;74.6;11.34;5.89
20.8;74.6;11.74;6.35
20.8;74.4;11.16;6.09
20.8;74.6;10.84;6.59
20.8;74.6;10.82;5.93
20.8;74.6;11.14;6.09
20.8;74.6;11.12;5.83
20.8;74.6;11.74;6.29
20.7;74.7;10.72;6.03
20.7;74.6;10.62;6.53
20.7;74.6;10.6;5.93
20.7;74.6;10.7;6.03
20.8;74.5;11.12;5.83
20.8;74.4;11.3;6.23
20.8;74.5;10.5;6.03
20.8;74.5;10.4;6.53
20.8;74.5;10.6;5.93
20.7;74.4;10.49;6.03
20.7;74.5;10.69;5.77
20.8;74.6;11.09;6.17
20.7;74.4;10.29;5.97
20.7;74.4;10.19;6.47
20.7;74.3;10.39;5.93
20.8;74.4;10.49;5.97
20.7;74.4;10.47;5.71
20.7;74.4;11.09;6.17
20.7;74.4;10.29;6.03
20.8;74.4;10.19;6.47
20.7;74.3;10.17;5.87
20.7;74.3;10.49;5.97
20.8;74.4;10.47;5.77
20.8;74.4;11.09;6.17
20.7;74.3;10.07;5.97
20.7;74.4;10.19;6.47
20.8;74.4;9.11;5.64
20.8;73.8;9;5.74
20.8;73.5;7.98;5.26
20.8;72.9;7.39;5.55
20.7;73.3;6.59;5.35
20.8;73.3;6.3;5.85
20.8;73;6.5;5.25
20.9;72.8;6.41;5.29
20.8;73;6.61;5.15
20.9;73.3;6.81;5.49
21.1;73.1;6.21;5.35
21.1;72.8;5.91;5.79
21.2;72.4;5.92;5.14
21.3;72.2;6.02;5.24
21.4;71.8;6.61;5.09
21.4;71.8;6.81;5.44
21.4;72;6.21;5.35
21.4;71.7;6.3;5.85
21.4;71.3;6.69;5.3
21.4;71.9;6.79;5.4
21.4;72;6.41;5.09
21.4;71.3;7.39;5.6
21.5;71.5;6.98;5.51
21.5;71.3;7.28;6.01
21.5;71.4;7.48;5.41
21.5;71.3;7.58;5.51
21.6;71.3;8.38;5.43
21.5;71.6;8.98;5.88
21.6;71.6;8.39;5.68
21.6;71.3;8.08;6.13
21.7;71.3;8.28;5.53
21.6;71.8;8.79;5.74
21.5;72.4;9.41;5.66
21.6;73;10.02;6.11
21.6;73.2;9.43;5.91
21.7;72.8;9.76;6.47
21.8;73.5;10.17;5.93
21.7;73.7;10.49;6.03
21.8;73.8;10.69;5.89
21.8;74.3;11.3;6.29
21.8;74.1;10.29;6.03
21.8;74;10.19;6.53
21.8;74;10.17;5.93
21.7;73.5;10.27;6.03
21.6;74.2;10.47;5.83
21.7;74.3;10.87;6.17
21.8;73.7;10.29;5.97
21.9;73.5;10.19;6.53
21.9;73.5;10.6;5.93
22;73.3;10.49;6.03
22;73;11.12;5.95
22;73;11.74;6.35
22;73.1;10.94;6.15
22;73.2;10.84;6.65
22;73.4;11.26;6.05
22;73.7;11.36;6.21
21.9;74;11.79;6.01
21.8;74.3;12.41;6.41
21.9;74.2;11.61;6.21
21.9;73.7;11.74;6.77
22;73.4;12.16;6.17
22;73.5;12.04;6.21
22.1;73.5;12.69;6.2
22.1;73.8;12.64;6.41
22;73;11.61;6.27
22;72.9;12.19;6.9
22;73.3;12.39;6.24
22.1;72.9;12.72;6.34
22.1;73;12.69;6.14
22.2;72.4;13.09;6.47
22.3;72.1;12.06;6.21
22.4;71.7;11.74;6.71
22.3;71.3;11.94;6.11
22.3;71.9;12.26;6.27
22.4;72.3;11.79;6.01
22.3;71.6;12.41;6.35
22.3;72.1;11.84;6.21
22.3;72.2;11.51;6.71
22.3;72;11.49;6.05
22.3;72;11.59;6.15
22.4;72;11.79;5.95
22.4;72;11.96;6.35
22.4;71.7;11.16;6.15
22.4;71.8;11.29;6.59
22.5;71.3;10.82;5.93
22.5;71.3;10.49;5.97
22.5;71;10.47;5.71
22.5;71;10.66;6.06
22.4;71;9.86;5.86
22.4;70.8;9.54;6.36
22.4;70.8;9.74;5.7
22.4;70.7;9.42;5.74
22.4;70.7;9.62;5.54
22.4;70.5;9.81;5.94
22.4;70.4;9.22;5.74
22.4;70.6;9.12;6.18
22.4;70.7;8.69;5.58
22.4;70.6;8.79;5.63
22.5;70.5;9.41;5.43
22.6;71;9.39;5.83
22.6;70.7;8.59;5.63
22.7;70.6;8.7;6.13
22.7;70.6;8.9;5.53
22.8;70.4;9;5.63
22.8;70.6;9.2;5.43
22.9;70.6;9.6;5.83
22.9;70.7;8.59;5.57
22.9;70.6;8.7;6.13
22.9;70.3;9.11;5.53
22.9;70.4;9;5.63
23;70.3;9.62;5.48
23.1;70.6;9.81;5.83
23.1;70.3;9.01;5.63
23.1;70.1;8.7;6.07
23.2;69.4;8.9;5.53
23.2;69.2;9;5.63
23.4;69.3;9.62;5.48
23.3;69.6;9.81;5.83
23.3;69;9.22;5.63
23.3;69.2;9.12;6.18
23.3;69.3;9.53;5.58
23.3;69.1;9.84;5.74
23.4;69.2;10.26;5.54
23.4;69.2;10.87;5.94
23.4;68.9;9.86;5.74
23.5;68.8;10.19;6.3
23.6;68.8;10.6;5.76
23.6;69;10.7;5.8
23.6;68.2;10.9;5.66
23.6;68.6;11.3;6
23.6;68.2;10.72;5.86
23.7;68.9;10.62;6.36
23.7;69;10.82;5.81
23.8;68.5;11.14;5.91
23.8;68;11.34;5.71
23.8;67.6;11.74;6.11
23.8;67.6;10.94;5.91
23.8;68;11.06;6.41
23.9;68;11.26;5.87
23.8;68.3;11.14;5.97
23.8;68.2;11.56;5.77
23.8;68.4;12.19;6.17
23.8;68.5;11.16;5.97
23.8;68.3;11.06;6.47
23.8;68.5;11.49;5.87
23.8;68.3;11.59;5.97
23.9;68.3;12.24;5.83
23.9;68.6;10.66;5.83
23.8;64;7.78;5.29
23.6;63.9;7.28;5.85
23.6;65;7.48;5.19
23.6;65.4;7.38;5.29
23.6;65.3;7.58;5.09
23.6;65.4;8.18;5.49
23.6;65.7;7.18;5.29
23.6;65.9;7.28;5.79
23.6;66.1;7.68;5.25
23.6;66.2;7.58;5.35
23.6;66.3;7.98;5.15
23.6;66.2;8.38;5.55
23.6;66.4;7.78;5.4
23.6;66.5;7.48;5.9
23.6;66.5;7.88;5.3
23.7;66.6;7.98;5.4
23.7;66.4;8.38;5.26
23.6;66.6;8.78;5.6
23.7;66.6;7.78;5.4
23.7;66.6;7.88;5.96
23.7;66.6;8.08;5.41
23.7;66.6;8.18;5.51
23.7;66.5;9.83;5.54
23.7;66.7;9.19;5.77
23.6;66.6;8.59;5.57
23.7;66.8;8.7;6.13
23.7;66.8;8.69;5.53
23.7;66.8;9.42;5.74
23.7;66.7;10.47;5.6
23.6;66.8;10.23;5.83
23.6;66.7;9.01;5.63
23.7;66.7;9.12;6.13
23.7;66.7;9.11;5.53
23.6;66.5;9.42;5.68
23.7;66.6;9.83;5.48
23.6;66.6;10.02;5.83
23.6;66.6;9.22;5.63
23.7;66.7;8.91;6.13
23.7;66.7;9.11;5.53
23.6;66.7;9.21;5.63
23.6;66.8;9.41;5.37
23.6;66.6;9.39;5.77
23.6;66.7;8.59;5.57
23.6;66.7;8.7;6.07
23.6;66.7;8.9;5.47
23.6;66.8;9;5.63
23.6;66.8;9.2;5.43
23.6;66.8;9.81;5.77
23.6;67;8.8;5.57
23.6;66.6;8.7;6.13
23.6;66.6;8.9;5.53
23.6;66.8;9.42;5.63
23.6;66.9;9.41;5.43
23.6;67;9.6;5.83
23.6;66.8;9.01;5.63
23.7;67.1;9.12;6.13
23.8;67;9.32;5.64
23.8;67;9.42;5.68
23.7;66.6;9.41;5.48
23.8;66.7;10.02;5.88
23.7;66.9;9.86;5.8
23.8;67;10.19;6.36
23.9;66.8;11.04;5.93
24;66.7;11.59;6.03
24;66.7;12.01;5.89
24.1;66.5;12.64;6.35
24.1;66.2;12.06;6.15
24.1;66;11.96;6.65
24.1;66.2;12.62;6.24
24.1;66.2;13.18;6.34
24.1;66.5;13.62;6.2
24.1;66.5;14.25;6.66
24.1;66.7;13.93;6.52
24;67;13.83;7.09
24.1;67.3;13.55;6.24
24.2;65.7;11.81;6.03
23.9;63.1;11.34;5.77
23.7;63;11.74;6.17
23.5;62.8;10.72;5.91
23.5;63.4;10.84;6.53
23.6;64.2;11.04;5.81
23.6;63.7;10.92;5.91
23.7;63.5;11.12;5.71
23.8;63.4;11.52;6.11
23.8;63.3;10.5;5.91
23.8;63.3;10.84;6.47
23.8;63.7;11.26;5.93
23.8;63.9;11.81;6.09
23.9;64.2;12.01;5.89
23.9;64.3;12.64;6.29
24;64.3;12.06;6.15
24;64.5;11.96;6.71
24;64.7;12.39;6.11
24;64.4;12.04;6.09
23.9;64.2;12.01;5.89
23.8;64.4;12.19;6.23
23.7;64.4;11.61;6.03
23.7;64.9;11.51;6.59
23.8;64.8;10.39;5.7
23.7;62.4;9.42;5.63
23.6;62.1;9.2;5.43
23.5;62.6;9.6;5.77
23.4;63.2;8.8;5.57
23.4;63.2;8.49;6.01
